State/UT,Latitude,Longitude,District,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
ANDAMAN & NICOBAR ISLANDS,,,ANDAMAN & NICOBAR ISLANDS,2017,118.685482801127,203.34029796600387,55.83855496040291,159.39145433921362,142.2494337602493,133.8568494003352,216.82927743625675,183.12027402570493,254.24299132419318,160.37773549826358,142.81255685634378,112.43510365723778,1883.1800120253315,322.02578076713087,357.47944305986584,788.0493921864901,415.6253960118451
ANDAMAN & NICOBAR ISLANDS,,,ANDAMAN & NICOBAR ISLANDS,2018,143.67203767894068,198.7160688622178,40.94308686829952,183.83560967859475,131.79856591350108,107.87467635505274,209.92288047335967,178.46189977060743,220.93732261139866,126.26666995790028,150.3500123735652,105.0687664408021,1797.8475969842402,342.3881065411585,356.57726246039533,717.1967792104185,381.6854487722676
ANDAMAN & NICOBAR ISLANDS,,,ANDAMAN & NICOBAR ISLANDS,2019,141.66157875290452,185.73696674652743,57.272010251628046,167.17348401442922,134.02884668305975,131.31345859165648,207.93668058447128,181.20718998118122,249.0028707640315,136.5344814890525,156.45073806464256,128.986735922389,1877.3050418459736,327.398545499432,358.47434094911705,769.4601999213405,421.9719554760841
ANDAMAN & NICOBAR ISLANDS,,,ANDAMAN & NICOBAR ISLANDS,2020,118.42346252734546,197.1839625328999,43.71799836526701,188.0567964054958,144.6270832367769,125.25116153209862,215.58114011623448,192.20888017254163,252.08821773961074,122.90654100883805,135.6687948604058,102.24531579611991,1837.9593542936343,315.60742506024536,376.4018780075397,785.1293995604855,360.8206516653638
ANDAMAN & NICOBAR ISLANDS,,,ANDAMAN & NICOBAR ISLANDS,2021,120.82460858183185,190.5633523195819,78.65390748864291,172.5354889020617,111.73549118983593,129.1271712863126,189.16387497305013,199.44458849904206,235.42433708160343,141.74927000720962,128.92438558517435,113.8891502696307,1812.035626183977,311.38796090141375,362.92488758054054,753.1599718400082,384.56280586201467
ANDAMAN & NICOBAR ISLANDS,,,ANDAMAN & NICOBAR ISLANDS,2022,126.10382700446834,172.37885077408896,68.0664815581702,172.75467759285505,134.89822020072597,140.168646185103,193.30681449872245,208.0257398117701,250.37113098257007,130.77078751404892,134.15689219544825,122.59149734474259,1853.5935656627137,298.48267777855733,375.71937935175123,791.8723314781656,387.5191770542398
ANDAMAN & NICOBAR ISLANDS,,,ANDAMAN & NICOBAR ISLANDS,2023,121.90237639749185,192.26137912075012,67.85303366383927,151.9991197984701,134.41998998579064,119.51391197137241,202.25568367022555,202.43643462074039,249.9656123366811,139.39271538574167,147.47944083881242,123.10807745992841,1852.5877752498438,314.16375551824194,354.2721434481,774.1716425990194,409.9802336844825
ANDAMAN & NICOBAR ISLANDS,,,Nicobars,2017,228.94607152364404,150.8790704390779,92.43997619274866,222.45249821234268,106.91753822396967,74.91643897453235,97.0512839548243,202.13319609655315,204.73537327882315,186.60720171734332,122.33286108904002,63.28560532039663,1752.6971150232957,379.82514196272194,421.810012629061,578.836292304733,372.22566812677996
ANDAMAN & NICOBAR ISLANDS,,,Nicobars,2018,223.66556308417856,132.05394503441022,101.31902489964925,192.79150499587607,117.67289406639523,70.8864341906123,110.11678833855058,214.53656099420033,192.6612756946163,189.45521772017165,123.28077184485728,48.64560504472474,1717.0855859082426,355.7195081185888,411.78342396192056,588.2010592179795,361.3815946097537
ANDAMAN & NICOBAR ISLANDS,,,Nicobars,2019,216.2989399029567,149.3975472803579,94.5436983739693,221.26628337360415,92.82901868344902,38.30806538048441,115.57542466895369,219.36697643066896,230.0681025490037,182.40574758344476,120.76683040817707,72.24917979423242,1753.0758144293022,365.6964871833146,408.6390004310225,603.3185690291107,375.42175778585425
ANDAMAN & NICOBAR ISLANDS,,,Nicobars,2020,221.93368731958753,159.99480880975264,77.05970460556549,193.63271858412241,99.10620078054073,71.21927660968271,130.73126464269484,206.58823820153196,203.3533088071262,214.2559640693441,125.06550000179764,55.491536187191315,1758.4322086189375,381.92849612934015,369.7986239702287,611.8920882610357,394.8130002583331
ANDAMAN & NICOBAR ISLANDS,,,Nicobars,2021,195.2245189113007,153.492321600489,97.12343899017934,208.0003638058011,101.07889848732964,36.020008466945576,119.58119288784849,225.21205276259872,210.5486473754388,205.89778768462588,132.6324575539247,65.94889219074165,1750.7605807172235,348.71684051178966,406.2027012833101,591.3619014928315,404.4791374292922
